date,score,content
2024-10-26 10:38:43,1,"결제수단을 추가하려 하니 가입하기 버튼이 떴는데, 이걸 눌러도 최신버전으로 업데이트 후 가입해달라는 메세지만 뜨네요. 최신버전으로 업데이트 이미 한 상황인데 가입 자체를 못해서 이용을 못하고 있는 상태입니다. 오류 수정 부탁드려요"
2024-08-27 07:09:59,2,"내 카드관리 들어갈 때마다 두번에 한번 꼴로 무한로딩이 걸리는데 이거 왜 이러는건가요? 앱도 최신 버전입니다. 그리고 카드 신규발급 받을 때도 무한로딩이 걸려서 한참 기다리다가 결국 강제종료 했습니다. 카드 발급 마지막 단계에서 무한로딩 걸린거라 카드 발급됐다고 문자로 오긴했는데, 발급 과정 중간에 무한로딩 걸려서 찝찝하네요. 이 카드 이상없이 사용 가능한거 맞나요?"
2024-09-22 12:40:42,3,4대은행 중엔 가장 세련됐다는 점이 좋습니다. 근데 체크카드 승인 때문에 발생하는 통장출금 알림만 끌 수 있는 기능 추가해주세요. 체크카드 알림이랑 통장출금 알림 중복이 심합니다. 그리고 자동로그인설정 해놔도 로그인이 자꾸 풀리는 문제가 있어요
2024-08-11 14:53:44,3,회면크기의 다양성을 고려하지 않았는지 작은화면에서 출금 비밀번호입력하는 화면크기가 고정되어있습니다. 그래서 
2024-07-24 23:56:31,4,"신한 쏠 뱅크 입출금 알림이 뜨지가 않습니다. 정확히 말씀드리면 알림이 뜨기는 하는데, 잠금화면 상태거나 다른 어플 사용 중에 입출금 팝업 알림이 뜨지가 않습니다. 상단에 알림창을 손으로 쓸어 내려야만 확인이 가능하고 팝업 형식으로 화면상에 뜨지 않습니다. 어떻게 하면 될까요. 참고로 핸드폰 알림 설정은 모두 ON 상태입니다. 저는 갤럭시s24 사용 중이고, 아내는 아이폰15 사용 중인데 아내 폰으로 테스트 해보니 알림이 잘 뜹니다. 다른 어플 사용 중이어도 상단에 팝업창으로 알림이 뜨고 잠금화면 상태여도 화면에 알림이 떠서 확인이 가능합니다."
2024-08-07 11:02:14,5,카드를 직접 내지 않고 폰을 대기만 해도 결제가 되서 간편해요! 🌟 보안도 아주 꼼꼼히 잘 되어있어요~ 계산도 잘되고 버그없이 잘 사용하고 있어요! 5명 중에 2명정도는 이 간편한 앱을 사용하고 있어요^^ 여러분도 한번 깔아보세요!
2024-08-09 06:54:30,1,"언제부턴가 입출금 알람이 오지 않음 설정에서 알람관련 메뉴 접근 시 오류발생함 앱 버그로 불편한데, 연결하기 힘든 고객센터로 전화해서 버그 리포팅까지 요청하는 마인드 멋지네요! 말로만 고객 생각한다는 소리 그만두고 앱에서 불편접수 할 수 있는 메뉴 하나 만드시길.."
2024-08-13 20:18:15,1,"뱅크아이디 만들려니 유료문자를 보내랍니다. 수십통을 보내도 다음으로 안넘어가는데 문자비 청구하면 받을 수 있습니까? 애초에 유료문자 프로세스 자체를 이해할 수가 없습니다. 신한인증서 시도했습니다. 맨 마지막에 영상통화 시간이 아니라고 합니다. 처음부터 불가능한데 왜 약관 동의와 본인인증, 신분증 촬영을 왜 시키는겁니까? 당신네들은 이 어플을 쓰고 있는게 확실합니까? 진짜 로그인으로 별 쇼를 다하네;; 신한인증서 시도하면서 알게 되었는데, 신한은행에 등록된 전화번호가 지금 쓰는 번호와 다릅니다. 만약에 이게 문제가 되어 뱅크아이디 유료문자 보내는 시스템이 안되는거면 유료문자 보내기 전에 실명인증으로 번호확인을 먼저 해야하는거 아닙니까? 로그인 한다고 유료문자 보내라는게 말이 안되고, 왜 다음 페이지로 넘어가지 않는지 아무 설명도 없이 문자보내기만 계속 반복할 수 밖에 없는데 이게 다 과금입니다. 뭐가 문젠지 이해하시겠나요? 금융인증서 원장처리오류랍니다. 미쳐버리겠네 진짜"
2024-09-20 12:59:02,3,OCR 신분증 얼굴인식 문자인식 너무 못해요 심각하네요 방금 여러 은행어플 3개에서 하고왔는데 신한에서만 10번하고 실패했어요. 어두운 곳에 가도 빛번짐 없어도 그냥 인식을 못해요. 이미지만 인식 못 하는게 아니라 글자도 잘 인식을 못해요 사진 초점 잡히지도 않을때 자동으로 찍혀서 생기는 문제 같기도 하구요. 이럴바엔 자동이 아닌 수동으로 타이밍을 맞춰서 찍을 수 있는 버튼이 따로 있는게 나을 듯 싶어요. 개선이 되었으면 좋겠네요. 평소에는 잘 사용하고 있는데 이 부분만 좀 개선 부탁드립니다.
2024-01-14 04:18:40,1,"결론부터 말하자면 작년보다 별로입니다. 혜택 이벤트 사용 유저로 무엇인 별로인지 뜯어봤는데요. 만보걷기를 예를 들자면 통합앱 슈퍼sol이 생겨 sol뱅크 앱을 지웠는데 만보걷기는 Sol뱅크로 등록해서 해당앱에서만 가능하다며 재설치하게 했습니다. 그래서 재설치했더니 거기서 다시 슈퍼sol앱으로 가서 컨테츠 최종 사용하게 되더군요ㅋㅋ 그럴거면 뭐하러 피곤하게 테스크를 복잡하게 만들고 뭐하러 통합앱을 만드는건지..시간 낭비하신것 같아 마음이 아픕니다. 특히나 주말에 오류, 버그가 많이 발생함에도 해당 이슈에 대한 리포트도 하기 어려운 점도 있습니다. 작년보다 혜택도 줄고, 사용이 복잡한 서비스 과정, 뚜렷하지 않은 UI와 순서 등 라이트이용자 입장에서 이탈할 위협 요소로 충분히 보이는 기획, 개발, 디자인의 완벽한 불협화음입니다."
