date,score,content
2024-10-16 01:40:07,1,"통합은 했는데, 할 수 없는 기능들이 많아 결국 은행, 카드 어플 각각 다 가지고 있어야하는 아이러니. 이럴거면 통합어플은 왜 만들었나요? 슈퍼쏠에 챗봇, 상담원 채팅 상담 기능 좀 기존 어플들과 연동해서 사용할 수 있도록 해주세요. 슈퍼쏠에서 검색했는데 검색조차 안되어서 기존 각 어플들로 들어가서 처리한 기능들이 한두개가 아닙니다..."
2024-10-28 18:06:17,1,만보기 때문에 백그라운드에서 계속 실행 중인데 배터리 소모가 너무 많아요. 토스앱이 1회 실제 실행 포함해서 0.9%(cpu 6분) 사용할 동안 이 앱은 실제 실행 없는데도 5.4%(cpu 2시간7분) 사용했네요. 차이가 너무 많이 나는데 최적화가 꼭 필요해보여요
2024-11-11 02:24:57,1,실적 스템프 쿠폰 받으려니 광고알람 선택안하면 못받게 해두고 광고 알림 변경하려니 오류났다며 변경이 안됨. 금융알람 변경은 오류 메시지 떠도 수정이 되는데 광고 알람만 변경이 안되는건 의도적이라고 밖에.. 무슨 어플 종류도 이리도 많은디..좀 하나로 통합좀 합시다! ----- 이거 광고 알림 오류 언제 수정 합니까? 1년이 다되도록 계속 오류라니..
2024-09-21 10:02:58,2,"몇 달 간 써보니, 통합 슈퍼앱이라기보다는 그저 만보기 원툴앱이 되었습니다. 슈퍼솔은 개별 앱과 공존하면서, 슈퍼솔은 그룹사 앱의 일부 기능만을 제공하여 사용자는 결국 개별앱을 놓을 수가 없습니다. 슈퍼솔로 개편되기 전 본래 알리미로서도 고유앱이 제공하는 알림 기능의 열화 기능 뿐이어서 결국 남은 고유의 가치라고는 만보기 기능 뿐.. 이마저도 원래는 개별앱에서도 가능하던 것을 억지로 슈퍼솔로 일원화 한 것뿐. 슈퍼솔 프로모션도 좋지만, 궁극적으로는 슈퍼솔이 개별앱의 더 많은 기능들을 흡수하지 않는 이상 통합앱이 아니라 그저 개별앱+1이 될 뿐입니다."
2024-09-21 13:25:11,1,"8개월전에 설치했을때 오류나서 설치삭제하고 리뷰썼었는데 슈퍼솔 가입이벤트 계속하길래 다시 설치해봄. 기존에 걸치기록이있어 이벤트는 해당없는데 신한 카드, 은행 둘 다 주거래처라 그냥 쓰려고했는데 되게 불펴함. 얼마전에 카드 해외에서 모르는결제된 일이있어서 신한카드한개 해외결제 막아뒀었는데 그거 해지하려고 슈퍼sol 에서 아무리 검색해봐도 관려 메뉴가 없음. 다시 기존 신한카드앱 설치해서 찾아보니 self Rule 이라고 해외결제 차단/해지 하는 메뉴가 있어서 해결함. 뭔가 편의성을 높이려고 통합어플 설치 권유하는건 이해하겠는데 기존메뉴 없애버리는건 차치하고 없앨거면 검색했을때 기존어플에서 사용가능하다는 안내정도라도 해서 알려줘야하는거 아닌가. 어플기획 누가했는지 모르겠는데 이렇게 하위메뉴도 많은 메뉴를 이런식으로 기획했다는게 어이없음. 기획자는 신한은행, 카드를 사용하지않는 사람인가..."
2024-09-03 10:01:19,4,"잘 쓰고 있습니다. 그런데 만보걷기 기록이 제대로 실행되지 않는 문제가 생겼습니다. 알림과 신체 기록 권한, 최적화 대상 제외를 했음에도 어플을 키면 그 때만 기록되다 종료 시 다시 멈추는 데 해결법이 뭔지 알고 싶습니다."
2024-09-02 23:26:47,1,"슈퍼쏠 이벤트 참여하려고 어플만 먼저 깔아놓고 가입 전이었는데 갑자기 폰에 출금알림이 와서 확인 누르니까 출금내역 확인하려면 개인정보 막 입력하라, 비번 새로 설정해라 하더니 자기 맘대로 슈퍼쏠 가입완료래요.. 가입완료라 이벤트 참여는 아무것도 못 하게 되었고요. 고객센터 문의하기 버튼은 아예 없네요 요즘은. 이게 뭔가요."
2024-08-23 01:25:44,2,신한은행 신한증권 20년째 쓰고있고 슈퍼쏠도 나올때부터 쓰고있어요. 통합되서 편하고 속도도 예전보다 빠른건 좋은데 증권쪽 ui는 진짜 노답임다. 머하나 하려면 허구헌날 메뉴 앞뒤 뺑뺑이에 타행으로 송금은 앱에선 왜 안됨? 이거 계속 쓰다 미쳐버릴거 같아서 증권은 ISA만 남기고 다 토스로 옮기고 있음... 증권 UI 개선 좀 제발...
2024-08-04 22:20:41,1,좀 짜증나는게 저 같은 경우 쏠뱅크도 쓰는데 슈퍼쏠 알람 킨다 팝업뜰 때 안 킨다고 선택하는데도 쏠뱅 알람 꺼집니다. 이러면 입출금 알람이 아예 안옵니다. 입출금 재깍재깍 알람 안와서 곤란했던 일 너무 많아요. 요즘 피싱 등의 사고 때문에 즉각적인 입출금 알람 중요한데 다른 앱 알람끌꺼면 바로바로 오던가...
2024-08-15 10:00:14,1,어플 좀 톱항됐으면 하고 여러 개로 나뉜다고 나눠서 전문적인 것도 아니고 송금 편리성이나 앱테크용으로나 토스에 비해 많이 밀리는 편. 만보기 어플 다른 어플들은 굳이 접속 안 해도 적립되는데 쏠은 접속해서 시작 눌러도 적립 안 될 때가 많은 편 토스나 카뱅에도 불만 없던 건 아닌데 신한 보면 거긴 홧병 치료될 정도
