sentence,nouns,adjectives
"통합은 했는데, 할 수 없는 기능들이 많아 결국 은행, 카드 어플 각각 다 가지고 있어야하는 아이러니.","['통합', '기능', '결국', '은행', '카드', '어플', '아이러니']","['없다', '많다']"
이럴거면 통합어플은 왜 만들었나요?,"['통합', '어플']",[]
"슈퍼쏠에 챗봇, 상담원 채팅 상담 기능 좀 기존 어플들과 연동해서 사용할 수 있도록 해주세요.","['슈퍼쏠', '챗봇', '상담원', '채팅', '상담', '기능', '기존', '어플', '연동', '사용']",['있다']
슈퍼쏠에서 검색했는데 검색조차 안되어서 기존 각 어플들로 들어가서 처리한 기능들이 한두개가 아닙니다...,"['슈퍼쏠', '검색', '검색', '기존', '어플', '처리', '기능']",[]
만보기 때문에 백그라운드에서 계속 실행 중인데 배터리 소모가 너무 많아요.,"['백', '그라운드', '실행', '중이', '배터리', '소모']",['많다']
토스앱이 1회 실제 실행 포함해서 0.9%(cpu 6분) 사용할 동안 이 앱은 실제 실행 없는데도 5.4%(cpu 2시간7분) 사용했네요.,"['토스', '앱', '실제', '실행', '포함', '사용', '동안', '앱', '실제', '실행', '사용']",['없다']
차이가 너무 많이 나는데 최적화가 꼭 필요해보여요,"['차이', '필요']",[]
실적 스템프 쿠폰 받으려니 광고알람 선택안하면 못받게 해두고 광고 알림 변경하려니 오류났다며 변경이 안됨.,"['실적', '스템프', '쿠폰', '광고', '알람', '선택', '광고', '알림', '변경', '오류', '변경']",[]
금융알람 변경은 오류 메시지 떠도 수정이 되는데 광고 알람만 변경이 안되는건 의도적이라고 밖에..,"['금융', '알람', '변경', '오류', '메시지', '수정', '광고', '알람', '변경', '의도']",[]
무슨 어플 종류도 이리도 많은디..좀 하나로 통합좀 합시다!,"['어플', '종류', '통합']",['많다']
----- 이거 광고 알림 오류 언제 수정 합니까?,"['광고', '알림', '오류', '수정']",[]
1년이 다되도록 계속 오류라니..,['오류'],[]
"몇 달 간 써보니, 통합 슈퍼앱이라기보다는 그저 만보기 원툴앱이 되었습니다.","['달', '간', '통합', '슈퍼', '앱', '보기', '앱']",[]
"슈퍼솔은 개별 앱과 공존하면서, 슈퍼솔은 그룹사 앱의 일부 기능만을 제공하여 사용자는 결국 개별앱을 놓을 수가 없습니다.","['슈퍼', '솔', '개별', '앱', '공존', '슈퍼', '그룹사', '앱', '일부', '기능', '제공', '사용자', '개별', '앱']",['없다']
슈퍼솔로 개편되기 전 본래 알리미로서도 고유앱이 제공하는 알림 기능의 열화 기능 뿐이어서 결국 남은 고유의 가치라고는 만보기 기능 뿐..,"['슈퍼', '솔', '개편', '전', '본래', '알리미', '고유', '앱', '제공', '알림', '기능', '열화', '기능', '결국', '고유', '가치', '보기', '기능']",[]
이마저도 원래는 개별앱에서도 가능하던 것을 억지로 슈퍼솔로 일원화 한 것뿐.,"['원래', '개별', '앱', '가능', '슈퍼', '솔', '일원']",[]
"슈퍼솔 프로모션도 좋지만, 궁극적으로는 슈퍼솔이 개별앱의 더 많은 기능들을 흡수하지 않는 이상 통합앱이 아니라 그저 개별앱+1이 될 뿐입니다.","['슈퍼', '솔', '프로모션', '궁극', '슈퍼', '솔', '개별', '앱', '기능', '흡수', '이상', '통합', '앱', '개별', '앱']","['좋다', '많다']"
8개월전에 설치했을때 오류나서 설치삭제하고 리뷰썼었는데 슈퍼솔 가입이벤트 계속하길래 다시 설치해봄.,"['전', '설치', '때', '오류', '설치', '삭제', '리뷰', '슈퍼', '솔', '가입', '이벤트', '설치']",[]
"기존에 걸치기록이있어 이벤트는 해당없는데 신한 카드, 은행 둘 다 주거래처라 그냥 쓰려고했는데 되게 불펴함.","['기존', '기록', '이벤트', '해당', '신', '카드', '은행', '거래처', '불펴']",['없다']
얼마전에 카드 해외에서 모르는결제된 일이있어서 신한카드한개 해외결제 막아뒀었는데 그거 해지하려고 슈퍼sol 에서 아무리 검색해봐도 관려 메뉴가 없음.,"['얼마', '전', '카드', '해외', '결제', '일', '해외', '결제', '해지', '슈퍼', '검색', '관려', '메뉴']",['없다']
다시 기존 신한카드앱 설치해서 찾아보니 self Rule 이라고 해외결제 차단/해지 하는 메뉴가 있어서 해결함.,"['기존', '앱', '설치', '해외', '결제', '차단', '해지', '메뉴', '해결']",[]
